0_frequency_bin,0_max_magnitude,0_min_magnitude,0_avg_magnitude,0_sd_magnitude,0_avg_difference,0_sd_difference,1_frequency_bin,1_max_magnitude,1_min_magnitude,1_avg_magnitude,1_sd_magnitude,1_avg_difference,1_sd_difference,2_frequency_bin,2_max_magnitude,2_min_magnitude,2_avg_magnitude,2_sd_magnitude,2_avg_difference,2_sd_difference,3_frequency_bin,3_max_magnitude,3_min_magnitude,3_avg_magnitude,3_sd_magnitude,3_avg_difference,3_sd_difference,4_frequency_bin,4_max_magnitude,4_min_magnitude,4_avg_magnitude,4_sd_magnitude,4_avg_difference,4_sd_difference,5_frequency_bin,5_max_magnitude,5_min_magnitude,5_avg_magnitude,5_sd_magnitude,5_avg_difference,5_sd_difference,6_frequency_bin,6_max_magnitude,6_min_magnitude,6_avg_magnitude,6_sd_magnitude,6_avg_difference,6_sd_difference,7_frequency_bin,7_max_magnitude,7_min_magnitude,7_avg_magnitude,7_sd_magnitude,7_avg_difference,7_sd_difference,8_frequency_bin,8_max_magnitude,8_min_magnitude,8_avg_magnitude,8_sd_magnitude,8_avg_difference,8_sd_difference,9_frequency_bin,9_max_magnitude,9_min_magnitude,9_avg_magnitude,9_sd_magnitude,9_avg_difference,9_sd_difference,target_frequency
46.0,138.25112915039062,3.532165765762329,21.549991607666016,21.13335418701172,-0.5899459719657898,1.984346628189087,23.0,159.6712646484375,0.4193636476993561,21.51483726501465,26.949077606201172,-0.7066357135772705,1.9002050161361694,45.0,98.60902404785156,2.946169853210449,14.831876754760742,14.848798751831055,-0.4141109585762024,1.4756178855895996,22.0,95.99968719482422,0.28713393211364746,13.075116157531738,16.285144805908203,-0.4212256669998169,1.4504040479660034,24.0,67.99580383300781,0.5861806869506836,8.773399353027344,11.043828010559082,-0.29340994358062744,1.0269616842269897,47.0,46.98194122314453,0.8941748738288879,7.594132900238037,7.2333879470825195,-0.18736036121845245,0.7067391276359558,92.0,43.24232864379883,0.29320475459098816,4.634829044342041,6.933913230895996,-0.19393467903137207,1.0236055850982666,91.0,28.46485710144043,0.07846654206514359,3.374168872833252,4.75633430480957,-0.11407944560050964,0.7005875110626221,69.0,24.159671783447266,0.09159214049577713,2.4248459339141846,3.4075188636779785,-0.10757014900445938,0.4613630175590515,138.0,18.96828842163086,0.013462264090776443,2.0855512619018555,3.2301278114318848,-0.08601092547178268,0.37955114245414734,246.94165062806206
28.0,47.687774658203125,0.006681845989078283,3.801210641860962,10.142088890075684,-1.833888292312622,5.026998519897461,27.0,24.199417114257812,0.004387248773127794,3.005540132522583,6.612677574157715,-0.8921604156494141,2.3562636375427246,16.0,9.079773902893066,0.020896226167678833,2.1689281463623047,2.5790388584136963,-0.34841838479042053,1.0962538719177246,29.0,27.977285385131836,0.0013019447214901447,1.9643478393554688,5.570371627807617,-1.075831413269043,3.434451103210449,17.0,6.772886276245117,0.024658983573317528,1.9264389276504517,2.083322763442993,-0.22475574910640717,1.064847707748413,5.0,9.167510986328125,0.002034783596172929,1.756099820137024,2.4500529766082764,-0.3523862659931183,0.4926894009113312,82.0,23.123308181762695,0.001067460048943758,1.673416018486023,4.5710344314575195,-0.8893105387687683,2.8603718280792236,36.0,13.572208404541016,0.0004522083909250796,1.381278157234192,3.0698370933532715,-0.5219905972480774,1.1727856397628784,15.0,8.155414581298828,0.012760154902935028,1.2992948293685913,1.7777059078216553,-0.31312814354896545,0.8380757570266724,21.0,12.952935218811035,0.01545475423336029,1.2852312326431274,2.7142748832702637,-0.4975954294204712,1.507935643196106,4186.009044809578
23.0,151.029052734375,1.190144419670105,9.001875877380371,22.294445037841797,-0.4096509516239166,1.49091374874115,17.0,121.6027603149414,2.3124372959136963,7.893457412719727,14.182323455810547,-0.3337855935096741,1.545595407485962,81.0,52.554595947265625,0.22116787731647491,7.61112117767334,10.060022354125977,-0.14572535455226898,0.5899481773376465,63.0,63.254638671875,0.6819859743118286,7.486870765686035,10.945823669433594,-0.1666356325149536,0.6912660002708435,57.0,46.003684997558594,0.3223843276500702,7.181146621704102,9.276947021484375,-0.12171778827905655,0.6155735850334167,58.0,42.69715118408203,0.36548352241516113,6.670546054840088,8.645940780639648,-0.11823979020118713,0.5664219260215759,22.0,117.37281799316406,0.8006135821342468,6.13248872756958,15.343620300292969,-0.32803359627723694,1.4543250799179077,64.0,49.15336227416992,0.3086602985858917,5.860322952270508,8.50515079498291,-0.13432279229164124,0.5091344118118286,82.0,38.27581024169922,0.08732941746711731,5.029635429382324,6.761514186859131,-0.07962291687726974,0.8484577536582947,11.0,42.240020751953125,1.359100103378296,4.8699493408203125,7.859851837158203,-0.08313161879777908,0.5733140707015991,61.7354126570155
92.0,295.7459716796875,0.012392510659992695,22.917137145996094,53.945411682128906,-2.4903247356414795,8.950498580932617,91.0,211.41065979003906,0.010130029171705246,15.751021385192871,37.57707977294922,-1.8708012104034424,5.957476615905762,93.0,112.79328155517578,0.009108173660933971,8.566736221313477,20.55427360534668,-0.9980900287628174,3.560469150543213,184.0,10.036696434020996,0.0003237559867557138,1.5097042322158813,2.6472809314727783,-0.08514689654111862,0.42097699642181396,90.0,21.423446655273438,0.001790751819498837,1.4900988340377808,3.7528154850006104,-0.1654554009437561,0.7356030344963074,185.0,10.969332695007324,0.00025785533944144845,0.9189817309379578,1.7838348150253296,-0.09707146137952805,0.5727225542068481,183.0,4.65622091293335,0.00024112235405482352,0.6747680306434631,1.1823911666870117,-0.037244588136672974,0.3232823610305786,94.0,11.922436714172363,0.0013851717812940478,0.6224778294563293,1.647323727607727,-0.1054777130484581,0.663032591342926,277.0,7.71408748626709,3.930612137992284e-07,0.5466792583465576,1.3329955339431763,-0.035157814621925354,0.5126445293426514,278.0,6.788272857666016,1.7428757104198667e-08,0.5285106897354126,1.2829996347427368,-0.03963847458362579,0.3214682936668396,987.7666025122483
28.0,15.343223571777344,0.0017612000228837132,2.473637342453003,4.196536064147949,-1.180112600326538,2.1757991313934326,80.0,18.828983306884766,0.005085325799882412,2.194312572479248,4.877134799957275,-1.447992205619812,3.4112167358398438,81.0,22.231849670410156,0.008577043190598488,2.069481372833252,5.635795593261719,-1.7094824314117432,5.178617000579834,27.0,9.089086532592773,0.0024728947319090366,1.9360172748565674,2.785970449447632,-0.6989702582359314,0.9318430423736572,16.0,7.748162746429443,0.007848518900573254,1.6615636348724365,2.6292266845703125,-0.5954087972640991,1.037284016609192,82.0,16.5507869720459,0.009089980274438858,1.5970356464385986,4.21925687789917,-1.2724381685256958,3.5893654823303223,15.0,10.351847648620605,0.005742708686739206,1.507136344909668,2.8861300945281982,-0.7958542704582214,1.6485857963562012,41.0,8.101224899291992,0.0009901656303554773,1.3786906003952026,2.1793456077575684,-0.6230949759483337,1.171172857284546,24.0,4.56967830657959,0.0009482846362516284,1.3135358095169067,1.5725551843643188,-0.3514408469200134,0.349014014005661,18.0,5.208766460418701,0.006392490118741989,1.3032554388046265,1.5920566320419312,-0.2805483639240265,0.8168624639511108,4186.009044809578
374.0,15.86115550994873,0.00137395691126585,2.711061716079712,4.867774486541748,-0.49561816453933716,1.1387051343917847,375.0,11.107422828674316,0.0007256974931806326,1.6866850852966309,3.3008182048797607,-0.13691724836826324,1.3587583303451538,373.0,13.178299903869629,0.0011650827946141362,1.5265330076217651,3.097036838531494,-0.41178542375564575,1.8297076225280762,82.0,19.183237075805664,0.0002038182137766853,1.2094342708587646,3.5847394466400146,-0.599469780921936,1.9683210849761963,81.0,12.212066650390625,0.00019375274132471532,0.7563057541847229,2.2352097034454346,-0.38162100315093994,1.3546756505966187,372.0,7.800578594207764,0.00013728530029766262,0.7305723428726196,1.9753800630569458,-0.2343968003988266,0.8152959942817688,17.0,2.868558406829834,0.0007483135559596121,0.6533936262130737,0.7996312975883484,-0.05840262398123741,0.44720029830932617,16.0,3.777284622192383,0.0019480395130813122,0.630418598651886,0.9586920142173767,-0.1179792657494545,0.4100950062274933,376.0,7.254292011260986,8.00153284217231e-05,0.6058653593063354,1.5068920850753784,-0.22669413685798645,0.8270864486694336,5.0,4.042698383331299,0.0007319604628719389,0.6023518443107605,1.0013371706008911,-0.12630468606948853,0.25896522402763367,3951.066410048992
31.0,64.14688110351562,1.8658126592636108,10.146162986755371,12.585151672363281,-0.18343156576156616,0.5144643783569336,14.0,70.38978576660156,0.9594982862472534,9.37890911102295,14.179224014282227,-0.19354580342769623,0.9613648653030396,44.0,47.26478576660156,0.24657714366912842,8.529143333435059,8.96035385131836,-0.13433535397052765,0.6473948359489441,43.0,42.421661376953125,0.1356661170721054,7.920755863189697,8.048243522644043,-0.1226128414273262,0.61049884557724,13.0,54.02387619018555,0.5352090001106262,7.040494918823242,10.61195182800293,-0.1416071653366089,0.915856659412384,37.0,30.964941024780273,0.8649746775627136,6.518242835998535,6.812246799468994,-0.07881376892328262,0.35159218311309814,40.0,40.792808532714844,0.1908540576696396,6.420151710510254,8.641860008239746,-0.1219271719455719,0.5360132455825806,19.0,34.42506790161133,1.2191880941390991,6.415432453155518,8.26693344116211,-0.09663061052560806,0.3402869403362274,32.0,36.960243225097656,1.0211158990859985,5.712151527404785,7.243488311767578,-0.10533932596445084,0.3463040292263031,20.0,28.925695419311523,0.9561377763748169,5.426722526550293,7.00685453414917,-0.0748162493109703,0.3354755640029907,30.86770632850775
23.0,217.95008850097656,4.058229923248291,18.374605178833008,29.719261169433594,-0.6402760148048401,2.229741096496582,22.0,144.55970764160156,2.5804052352905273,10.870341300964355,17.720800399780273,-0.4221121072769165,2.183483600616455,46.0,60.62065887451172,0.950593113899231,9.345541954040527,10.33334732055664,-0.15118952095508575,0.6643485426902771,57.0,79.68682098388672,1.017107605934143,9.2565279006958,12.750476837158203,-0.23839308321475983,0.7747077345848083,24.0,87.51441192626953,0.9540044069290161,7.7428483963012695,12.580629348754883,-0.24491049349308014,0.9607199430465698,58.0,61.75423049926758,0.8915903568267822,7.581919193267822,10.397069931030273,-0.18205522000789642,0.5867931246757507,34.0,78.34750366210938,0.14629106223583221,6.500364303588867,12.248023986816406,-0.1669374257326126,1.4195579290390015,80.0,39.208499908447266,0.8175027370452881,6.42714262008667,6.934450149536133,-0.11469104886054993,0.5064638257026672,81.0,34.347434997558594,0.6897134184837341,6.225224018096924,6.69882345199585,-0.10004401952028275,0.493878036737442,69.0,28.65531349182129,1.638479471206665,5.971311569213867,5.147377967834473,-0.056303173303604126,0.40924128890037537,123.47082531403103
184.0,51.14265060424805,0.025533074513077736,9.083894729614258,11.406477928161621,-1.3106951713562012,4.252631664276123,183.0,40.222389221191406,0.035921741276979446,9.073447227478027,10.825875282287598,-0.5301955938339233,4.632634162902832,182.0,17.985763549804688,0.026396971195936203,3.76043701171875,4.684463024139404,-0.12314239889383316,1.9466991424560547,185.0,34.66105651855469,0.007968839257955551,3.109015703201294,5.883496284484863,-0.8885408043861389,3.440385580062866,369.0,4.923323631286621,0.00016852682165335864,0.6580707430839539,1.1032105684280396,-0.1262347251176834,0.5093996524810791,186.0,10.538420677185059,0.003070184960961342,0.5756329298019409,1.7074137926101685,-0.27013716101646423,1.237458348274231,368.0,4.634528636932373,0.00011863382678711787,0.5015548467636108,0.9493445158004761,-0.11883103847503662,0.3996627628803253,181.0,4.4643449783325195,0.005459188017994165,0.4646681845188141,0.8001987338066101,-0.1142476424574852,0.6853587627410889,173.0,2.1687188148498535,0.0026991653721779585,0.41303786635398865,0.5426055788993835,-0.040397316217422485,0.27669087052345276,15.0,2.741575241088867,0.0006078864098526537,0.40469446778297424,0.6697743535041809,-0.04027421399950981,0.2744583785533905,1975.533205024496
92.0,108.6353530883789,0.008069340139627457,10.873902320861816,21.128936767578125,-0.7439998984336853,2.1220619678497314,46.0,144.08889770507812,0.012444091960787773,8.604172706604004,22.102169036865234,-1.0005308389663696,3.3063812255859375,91.0,70.45857238769531,0.006768946535885334,7.68543004989624,14.402209281921387,-0.47143492102622986,1.373558521270752,45.0,61.15178298950195,0.009860404767096043,4.690197944641113,11.35777473449707,-0.4245966672897339,1.3755080699920654,47.0,86.01029968261719,0.008402835577726364,4.013891696929932,11.370431900024414,-0.5972354412078857,2.590925931930542,93.0,44.42902374267578,0.005140755325555801,3.7512800693511963,7.675572395324707,-0.28277117013931274,1.0707087516784668,138.0,24.182050704956055,0.001224191510118544,1.5514744520187378,3.357248067855835,-0.16792240738868713,0.8152576088905334,184.0,18.417673110961914,0.00036599059239961207,1.4700387716293335,3.178551435470581,-0.12170815467834473,0.5390021800994873,137.0,16.098390579223633,0.0009706951095722616,1.0145416259765625,2.2178761959075928,-0.11178763955831528,0.5456526279449463,185.0,11.280097961425781,0.00031969527481123805,0.8650370240211487,1.775406002998352,-0.04011155292391777,0.4751826524734497,493.8833012561241
